slot_id,weather,occupied,edge_density,foreground_ratio,gradient_magnitude,local_variance,largest_component,intensity_std,otsu_separability,mean_saturation
1,sunny,1,0.18903891977760126,0.846703733121525,0.09153091689326322,0.20276368368495923,0.8435266084193804,0.450292886558248,0.74224693561837,0.1003068105717267
2,sunny,0,0.12508638562543192,0.9212163096060816,0.059629281853015664,0.12832664633119167,0.9212163096060816,0.35822708765696615,0.7679093383188657,0.17441901432307547
3,sunny,1,0.23236196319018404,0.37653374233128833,0.08504903810985988,0.1612285673542903,0.28680981595092025,0.4015327724536197,0.7676728668380154,0.14419884518224468
4,sunny,0,0.1406869220607662,0.9682959048877147,0.049597956723880364,0.08218699964980687,0.9682959048877147,0.28668275087595846,0.7089560091300298,0.1900743388504675
5,sunny,1,0.19950331125827814,0.734271523178808,0.10533243096944606,0.25344359002816624,0.5298013245033113,0.5034318126898282,0.7955191187511793,0.12112063368393715
6,sunny,1,0.20684292379471228,0.38413685847589424,0.08095959754403183,0.17618026032003475,0.24261275272161742,0.419738323625607,0.7328623342694961,0.14294514073125364
7,sunny,0,0.1044776119402985,1.0,0.03786624851076471,0.04569242758854249,1.0,0.21375787140721272,0.6954085344263714,0.21215720704436297
8,sunny,0,0.09411764705882353,0.8279411764705882,0.03545171120756949,0.0745353580736182,0.7625,0.273011644575132,0.7755085529874262,0.1852912341407151
9,sunny,0,0.1166902404526167,0.9349363507779349,0.033466049581287675,0.04854282556192408,0.9349363507779349,0.22032436443099998,0.7613855104595206,0.17851457414649027
10,sunny,0,0.09621451104100946,1.0,0.03874316228703789,0.03719193363598486,1.0,0.19285210301156908,0.6542061546167788,0.16397909321457288
11,sunny,0,0.1301775147928994,0.9201183431952663,0.0401399393003568,0.03876248195162553,0.8727810650887574,0.19688189848644166,0.6402206160325093,0.1394419306184012
12,sunny,1,0.19642857142857142,0.7781593406593407,0.08005953294578581,0.19421550030268517,0.7781593406593407,0.4406988771289135,0.7338594227705371,0.07823744882568412
13,sunny,1,0.2768565248738284,0.7217015140591204,0.11228988462274289,0.19662693098919518,0.5832732516222062,0.4434263535122774,0.7383539290260194,0.10779648557332089
14,sunny,0,0.1902439024390244,0.723780487804878,0.06571589185829639,0.15745933875247267,0.6634146341463415,0.3968114649962532,0.7832529618900576,0.16347680535628886
15,sunny,0,0.08207070707070707,0.8409090909090909,0.04047511282715935,0.041976228523943275,0.7904040404040404,0.20488101064750552,0.7150544315292678,0.15654337492572787
16,sunny,0,0.13162544169611307,1.0,0.03936709947758857,0.029603287219554176,1.0,0.17205605836341298,0.6674773701874875,0.1450599321000485
17,sunny,1,0.2789237668161435,0.579372197309417,0.09880749839303067,0.14155918318037317,0.5022421524663677,0.37624351579844295,0.6893602897889618,0.1770755297634749
18,sunny,1,0.282798833819242,0.7106413994169096,0.11457483428604201,0.16267154033134923,0.7106413994169096,0.403325600887607,0.678917185275431,0.273315040301835
19,sunny,1,0.19815668202764977,0.6497695852534562,0.09535822885293424,0.2270117888211374,0.5599078341013825,0.4764575414673772,0.7809234986445438,0.08896719978313905
20,sunny,0,0.18088737201365188,0.8621160409556314,0.044276815004907766,0.07019638531033243,0.783617747440273,0.26494600451852907,0.7420610231883974,0.15664592116710166
21,sunny,1,0.18803418803418803,0.7358197358197358,0.09847567323113021,0.2071427070160747,0.728049728049728,0.4551293299888228,0.792453009787463,0.0951079421667657
22,sunny,0,0.18580246913580248,1.0,0.056807828742663886,0.0792203627261413,1.0,0.28146112116265953,0.7067476506562169,0.18948196562575648
23,sunny,0,0.09286775631500743,0.9517087667161961,0.05525912270199084,0.09286676939432434,0.9517087667161961,0.3047404951665012,0.7873526756074756,0.11738484398216939
24,sunny,0,0.13949843260188088,0.987460815047022,0.04400397965749741,0.06176206337424483,0.987460815047022,0.24851974443541672,0.6451797196634338,0.10255701026492102
25,sunny,1,0.20269200316706254,0.7537608867775138,0.10631485943195346,0.2785759592739609,0.7537608867775138,0.5278029549689552,0.8057763373936647,0.11792961048235605
26,sunny,0,0.10405759162303665,0.8965968586387435,0.04749698264447512,0.1488936106855263,0.8965968586387435,0.38586734856103894,0.7612540355683999,0.13366184170003081
27,sunny,1,0.1992063492063492,0.6865079365079365,0.10017882168886029,0.26178989975074995,0.6865079365079365,0.5116540821206745,0.7803488698088449,0.1103828197945845
28,sunny,0,0.18330849478390462,0.8695976154992549,0.1107172596314791,0.20169005596448306,0.8695976154992549,0.4490991605029819,0.8012061180923196,0.12156278308640893
29,sunny,1,0.21308159136884694,0.7646662171274443,0.1023973812531083,0.22666299576585275,0.7646662171274443,0.4760913733369391,0.7745955097968423,0.08799333624211654
30,sunny,1,0.2294034090909091,0.32457386363636365,0.08366772061567658,0.13449145976590177,0.14985795454545456,0.3667307728646476,0.7318102272570937,0.1619067513368984
31,sunny,0,0.16691729323308271,0.6714285714285714,0.07292041977718888,0.18524344453766517,0.6691729323308271,0.4303991688394218,0.8586634958838698,0.12359427981719004
32,sunny,1,0.20633934120571784,0.7905531385954009,0.09268263486265739,0.17235167354708256,0.7905531385954009,0.4151525906785149,0.7929007881713239,0.07706893820300027
